Frame,Visibility,X,Y,Time
0,0,0,0,00:00:00.0
1,0,0,0,00:00:00.04
2,0,0,0,00:00:00.08
3,1,653,351,00:00:00.12
4,1,653,351,00:00:00.16
5,1,653,352,00:00:00.2
6,1,651,351,00:00:00.24
7,1,651,351,00:00:00.28
8,1,652,350,00:00:00.32
9,1,655,345,00:00:00.36
10,1,656,346,00:00:00.4
11,0,0,0,00:00:00.44
12,1,673,333,00:00:00.48
13,1,687,326,00:00:00.52
14,1,701,316,00:00:00.56
15,1,710,315,00:00:00.6
16,1,720,315,00:00:00.64
17,1,728,316,00:00:00.68
18,1,738,316,00:00:00.72
19,1,746,316,00:00:00.76
20,1,756,318,00:00:00.8
21,1,763,323,00:00:00.84
22,1,771,328,00:00:00.88
23,1,778,336,00:00:00.92
24,1,786,343,00:00:00.96
25,1,791,353,00:00:01.0
26,1,798,363,00:00:01.04
27,1,806,376,00:00:01.08
28,1,811,386,00:00:01.12
29,1,816,401,00:00:01.16
30,1,821,413,00:00:01.2
31,1,826,428,00:00:01.24
32,1,827,420,00:00:01.28
33,1,823,400,00:00:01.32
34,1,821,381,00:00:01.36
35,1,823,366,00:00:01.4000000000000001
36,1,825,353,00:00:01.44
37,1,825,342,00:00:01.48
38,1,823,335,00:00:01.52
39,1,821,331,00:00:01.56
40,1,821,330,00:00:01.6
41,1,818,326,00:00:01.6400000000000001
42,1,818,327,00:00:01.68
43,1,817,326,00:00:01.72
44,1,816,326,00:00:01.76
45,1,816,328,00:00:01.8
46,1,816,333,00:00:01.84
47,1,816,336,00:00:01.8800000000000003
48,1,815,343,00:00:01.92
49,1,813,351,00:00:01.96
50,1,815,361,00:00:02.0
51,1,813,371,00:00:02.04
52,1,813,380,00:00:02.08
53,1,788,343,00:00:02.12
54,1,767,313,00:00:02.16
55,1,753,291,00:00:02.2
56,1,735,265,00:00:02.24
57,1,721,248,00:00:02.2800000000000002
58,0,0,0,00:00:02.32
59,1,696,216,00:00:02.36
60,1,683,203,00:00:02.4
61,1,673,193,00:00:02.44
62,1,662,186,00:00:02.48
63,1,652,180,00:00:02.52
64,1,641,176,00:00:02.56
65,1,632,173,00:00:02.6
66,1,623,172,00:00:02.64
67,1,615,173,00:00:02.68
68,1,606,176,00:00:02.72
69,1,598,181,00:00:02.7600000000000007
70,1,588,186,00:00:02.8000000000000003
71,1,581,192,00:00:02.84
72,1,572,201,00:00:02.88
73,1,563,211,00:00:02.92
74,1,558,221,00:00:02.96
75,1,547,236,00:00:03.0
76,1,541,251,00:00:03.04
77,1,533,266,00:00:03.08
78,1,528,281,00:00:03.12
79,1,521,301,00:00:03.16
80,1,515,320,00:00:03.2
81,1,508,340,00:00:03.24
82,1,503,361,00:00:03.2800000000000002
83,1,498,381,00:00:03.3200000000000003
84,1,493,403,00:00:03.36
85,1,488,426,00:00:03.4
86,1,535,340,00:00:03.44
87,1,570,273,00:00:03.48
88,1,592,231,00:00:03.52
89,1,611,198,00:00:03.56
90,1,626,173,00:00:03.6
91,1,640,156,00:00:03.64
92,1,651,141,00:00:03.68
93,1,661,128,00:00:03.72
94,1,671,118,00:00:03.7600000000000007
95,1,678,112,00:00:03.8000000000000003
96,1,686,107,00:00:03.84
97,1,693,103,00:00:03.88
98,1,701,102,00:00:03.92
99,1,706,103,00:00:03.96
100,1,711,103,00:00:04.0
101,1,716,106,00:00:04.04
102,1,722,108,00:00:04.08
103,1,727,113,00:00:04.12
104,1,733,118,00:00:04.16
105,1,736,126,00:00:04.2
106,1,741,131,00:00:04.24
107,1,746,140,00:00:04.28
108,1,751,148,00:00:04.32
109,1,753,157,00:00:04.36
110,1,757,166,00:00:04.4
111,1,761,178,00:00:04.44
112,1,766,188,00:00:04.48
113,1,768,201,00:00:04.520000000000001
114,1,771,211,00:00:04.5600000000000005
115,1,776,223,00:00:04.6000000000000005
116,1,781,232,00:00:04.64
117,1,782,241,00:00:04.68
118,1,783,251,00:00:04.72
119,1,786,261,00:00:04.76
120,1,786,271,00:00:04.8
121,1,788,283,00:00:04.84
122,1,788,296,00:00:04.88
123,1,791,308,00:00:04.92
124,1,791,325,00:00:04.96
125,1,791,336,00:00:05.0
126,1,792,353,00:00:05.04
127,1,792,368,00:00:05.08
128,1,762,358,00:00:05.12
129,0,0,0,00:00:05.16
130,1,707,316,00:00:05.2
131,1,687,310,00:00:05.24
132,1,666,298,00:00:05.28
133,1,642,291,00:00:05.32
134,1,625,286,00:00:05.36
135,1,608,281,00:00:05.4
136,1,593,278,00:00:05.44
137,1,581,276,00:00:05.48
138,1,566,278,00:00:05.520000000000001
139,1,556,278,00:00:05.5600000000000005
140,1,543,282,00:00:05.6000000000000005
141,1,533,286,00:00:05.64
142,1,523,292,00:00:05.68
143,1,513,298,00:00:05.72
144,1,506,306,00:00:05.76
145,1,498,313,00:00:05.8
146,1,491,323,00:00:05.84
147,1,483,333,00:00:05.88
148,1,476,345,00:00:05.92
149,1,471,356,00:00:05.96
150,1,466,366,00:00:06.0
151,1,461,381,00:00:06.04
152,1,456,393,00:00:06.08
153,1,451,407,00:00:06.12
154,1,450,411,00:00:06.16
155,1,446,390,00:00:06.2
156,1,448,371,00:00:06.24
157,1,451,353,00:00:06.28
158,1,451,341,00:00:06.32
159,1,448,332,00:00:06.36
160,1,446,326,00:00:06.4
161,1,443,318,00:00:06.44
162,1,443,313,00:00:06.48
163,1,443,308,00:00:06.520000000000001
164,1,442,306,00:00:06.5600000000000005
165,1,442,305,00:00:06.6000000000000005
166,1,441,305,00:00:06.640000000000001
167,1,441,306,00:00:06.68
168,1,441,308,00:00:06.72
169,1,441,313,00:00:06.76
170,1,441,318,00:00:06.8
171,1,440,326,00:00:06.84
172,1,440,333,00:00:06.88
173,1,438,343,00:00:06.92
174,1,438,356,00:00:06.96
175,1,438,366,00:00:07.0
176,1,438,380,00:00:07.04
177,0,0,0,00:00:07.08
178,1,457,385,00:00:07.12
179,1,482,371,00:00:07.16
180,1,503,356,00:00:07.2
181,1,526,341,00:00:07.24
182,1,546,328,00:00:07.28
183,1,565,321,00:00:07.32
184,1,586,311,00:00:07.36
185,1,603,306,00:00:07.4
186,1,618,303,00:00:07.44
187,1,636,301,00:00:07.48
188,1,651,298,00:00:07.520000000000001
189,1,665,300,00:00:07.5600000000000005
190,0,0,0,00:00:07.6000000000000005
191,1,691,303,00:00:07.640000000000001
192,1,703,308,00:00:07.68
193,1,716,316,00:00:07.72
194,1,727,321,00:00:07.76
195,1,738,328,00:00:07.8
196,1,748,336,00:00:07.84
197,1,760,346,00:00:07.88
198,1,770,356,00:00:07.92
199,1,777,366,00:00:07.96
200,1,786,376,00:00:08.0
201,1,760,331,00:00:08.040000000000001
202,1,738,301,00:00:08.08
203,1,721,271,00:00:08.120000000000001
204,1,706,246,00:00:08.16
205,1,693,226,00:00:08.2
206,1,676,203,00:00:08.24
207,1,661,186,00:00:08.28
208,1,648,171,00:00:08.32
209,1,636,158,00:00:08.36
210,1,625,148,00:00:08.4
211,1,615,141,00:00:08.44
212,1,603,135,00:00:08.48
213,1,593,131,00:00:08.52
214,1,583,126,00:00:08.56
215,1,572,126,00:00:08.6
216,1,563,126,00:00:08.64
217,1,553,128,00:00:08.68
218,1,543,133,00:00:08.72
219,1,536,138,00:00:08.76
220,1,526,146,00:00:08.8
221,1,516,153,00:00:08.84
222,1,506,165,00:00:08.88
223,1,498,176,00:00:08.92
224,1,491,188,00:00:08.96
225,1,481,203,00:00:09.0
226,1,476,218,00:00:09.040000000000003
227,1,468,236,00:00:09.08
228,1,461,253,00:00:09.120000000000001
229,1,455,271,00:00:09.16
230,1,448,291,00:00:09.200000000000001
231,0,0,0,00:00:09.24
232,1,565,297,00:00:09.28
233,1,613,302,00:00:09.32
234,1,650,300,00:00:09.36
235,0,0,0,00:00:09.4
236,1,705,303,00:00:09.44
237,1,726,306,00:00:09.48
238,1,741,311,00:00:09.52
239,1,756,316,00:00:09.56
240,1,768,321,00:00:09.6
241,1,781,326,00:00:09.64
242,1,791,333,00:00:09.68
243,1,801,341,00:00:09.72
244,1,811,347,00:00:09.76
245,1,818,356,00:00:09.8
246,1,826,363,00:00:09.84
247,1,835,372,00:00:09.88
248,1,841,383,00:00:09.92
249,1,848,391,00:00:09.96
